Index,Route,MoT,Temp,BaseCost,Volume,Check in Date,Weight,OldShipmentCount,netVol,netWeight,New_SH,New_BC,NewShipmentCount,Savings,Updated Base Cost
0,IDA039,Land,Ambient,128753244,211092466.66,2017-03-09,83397.0,6,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",967500.0,43,127785744.0,967500.0
1,IDA353,Sea,Ambient,114900000,329861130.5,2017-03-28,139560.0,12,0.0,0.0,"9F,9F,9F,9F,9F,9F",42000.0,6,114858000.0,42000.0
2,IDA231,Land,Ambient,110194268,139977959.83,2017-03-20,41506.0,4,0.0,0.0,"9Q,9Q,9Q,9Q,9Q",5525000.0,5,104669268.0,5525000.0
3,IDA353,Sea,Ambient,93000000,246527682.42,2017-03-10,95566.0,9,0.0,0.0,"9F,9F,9F,9F,9F",35000.0,5,92965000.0,35000.0
4,IDA448,Sea,Ambient,158700000,57916909.519999996,2017-02-22,23903.0,2,0.0,0.0,"9D,9D,9D",70647750.0,3,88052250.0,70647750.0
5,IDA039,Land,Ambient,85835496,138139787.65,2017-02-11,59090.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",630000.0,28,85205496.0,630000.0
6,IDA218,Land,Ambient,77600000,79937480.31,2017-03-01,27996.0,2,0.0,0.0,"9P,9P,9P",3315000.0,3,74285000.0,3315000.0
7,IDA218,Land,Ambient,77600000,79968225.49000001,2017-03-04,27381.0,2,0.0,0.0,"9P,9P,9P",3315000.0,3,74285000.0,3315000.0
8,IDA218,Land,Ambient,77600000,79881770.78999999,2017-03-25,31263.0,2,0.0,0.0,"9P,9P,9P",3315000.0,3,74285000.0,3315000.0
9,IDA218,Land,Ambient,77600000,75235326.81,2017-03-31,26095.0,2,0.0,0.0,"9P,9P,9P",3315000.0,3,74285000.0,3315000.0
10,IDA288,Sea,Ambient,105509450,54393675.370000005,2017-02-11,21040.0,2,0.0,0.0,"9D,9D",31818900.0,2,73690550.0,31818900.0
11,IDA145,Land,Ambient,73141595,199293337.54999998,2017-04-25,74957.0,5,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",660000.0,40,72481595.0,660000.0
12,IDA145,Land,Ambient,71513276,198953694.96,2017-03-23,82380.0,5,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",660000.0,40,70853276.0,660000.0
13,IDA145,Land,Ambient,69884957,198093261.01,2017-04-05,80789.0,5,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",660000.0,40,69224957.0,660000.0
14,IDA282,Land,Ambient,64105361,238378753.53999996,2017-03-05,89213.0,6,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",792000.0,48,63313361.0,792000.0
15,IDA145,Land,Ambient,58513276,158604203.36,2017-03-29,61677.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32,57985276.0,528000.0
16,IDA145,Land,Ambient,55884957,157085548.22,2017-02-01,65931.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32,55356957.0,528000.0
17,IDA145,Land,Ambient,55256638,158933408.44,2017-02-08,59030.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32,54728638.0,528000.0
18,IDA145,Land,Ambient,55256638,159106482.29,2017-03-04,64462.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32,54728638.0,528000.0
19,IDA145,Land,Ambient,55256638,155537011.18,2017-03-25,72640.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32,54728638.0,528000.0
20,IDA145,Land,Ambient,55256638,158199404.82999998,2017-04-11,61701.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32,54728638.0,528000.0
21,IDA231,Land,Ambient,57996982,77979396.18,2017-02-20,32555.0,2,0.0,0.0,"9Q,9Q,9Q",3315000.0,3,54681982.0,3315000.0
22,IDA231,Land,Ambient,57996982,79978734.0,2017-03-26,23677.0,2,0.0,0.0,"9Q,9Q,9Q",3315000.0,3,54681982.0,3315000.0
23,IDA392,Land,Ambient,52009018,399512812.49999994,2017-03-17,146026.0,10,0.0,0.0,"GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD",124290.0,18,51884728.0,124290.0
24,IDA448,Sea,Ambient,98200000,55986062.65,2017-02-01,23605.0,2,0.0,0.0,"9D,9D",47098500.0,2,51101500.0,47098500.0
25,IDA230,Land,Ambient,50183161,152915164.55,2017-03-09,61992.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",651000.0,31,49532161.0,651000.0
26,IDA091,Land,Ambient,46603162,316307802.02000004,2017-04-11,115509.0,9,0.0,0.0,"GG,GG,GG,GG,GG",25000.0,5,46578162.0,25000.0
27,IDA095,Land,Ambient,46064845,316266353.61,2017-03-31,112419.0,9,0.0,0.0,"GG,GG,GG,GG,GG",25000.0,5,46039845.0,25000.0
28,IDA154,Land,Ambient,46075356,498531324.2110001,2017-04-26,185955.0,18,0.0,0.0,"GG,GG,GG,GG,GG,GG,GG,GG",40000.0,8,46035356.0,40000.0
29,IDA020,Land,Ambient,84629226,748686526.1079994,2017-02-06,343557.0,96,0.0,0.0,"9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H",40002187.5,33,44627038.5,40002187.5
30,IDA091,Sea,Ambient,44496000,164829500.25,2017-02-14,58623.0,3,0.0,0.0,"9F,9F,9F",13500.0,3,44482500.0,13500.0
31,IDA149,Land,Ambient,43695000,359927834.56,2017-02-23,134670.0,9,0.0,0.0,"GG,GG,GG,GG,GG,GG",30000.0,6,43665000.0,30000.0
