,Route,Sh,Amount,Shipping Type Code,Shipping Type Description,Weight,Vol,Vehicle Pallet Capacity (Pallet floor space),MoT,Vehicle Classification,Temp,Truck Size,Truck Type Short Form,Unnamed: 10,Truck Type,Weight Tons,Case Capacity,Pallet,Loose Case Loading/Unloading  Time (hr),Loose Case Loadiong /Unloading producivity (case/hr),Pallet Unloading producivity (Pallets/Hr)
4409,IDFW18,9G,1373.0,9G,ENGKEL 12T 23M3,12000,23000000,18.0,Land,Rigid Truck 7.5 - 17 t,Ambient,Medium,Engkel,,,,,,,,
3533,IDA477,9K,4300.0,9K,JUMBO 20T 40M3,20000,40000000,24.0,Land,Rigid Truck > 17 t,Ambient,Large,Jumbo,,,,,,,,
3535,IDA477,GF,4300.0,GF,JUMBO 20T 40M3,20000,40000000,16.0,Land,Rigid Truck > 17 t,Ambient,Large,Jumbo,,40ft container,26,4000,20,,,
3543,IDA478,9K,4300.0,9K,JUMBO 20T 40M3,20000,40000000,24.0,Land,Rigid Truck > 17 t,Ambient,Large,Jumbo,,,,,,,,
3545,IDA478,GF,4300.0,GF,JUMBO 20T 40M3,20000,40000000,16.0,Land,Rigid Truck > 17 t,Ambient,Large,Jumbo,,40ft container,26,4000,20,,,
1250,IDA149,9F,4416.666666666667,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1273,IDA150,9F,4416.666666666667,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1296,IDA151,9F,4416.666666666667,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1319,IDA152,9F,4416.666666666667,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1340,IDA153,9F,4416.666666666667,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1363,IDA154,9F,4416.666666666667,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1451,IDA159,9F,4416.666666666667,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1474,IDA160,9F,4416.666666666667,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
4156,IDA921,9F,4416.666666666667,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
3532,IDA477,9F,4437.5,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
3542,IDA478,9F,4437.5,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
