Shipping Type Code,Shipping Type Description,Vehicle Weight Capacity (Kg),Vehicle  Volume Capacity (M3),Vehicle Pallet Capacity (Pallet floor space),Mod of Transport,Vehicle Classification,Vehicle Type,Truck Size,Truck Type Short Form,,Truck Type,Weight Tons,Case Capacity,Pallet ,Loose Case Loading/Unloading  Time (hr),Loose Case Loadiong /Unloading producivity (case/hr),Pallet Unloading producivity (Pallets/Hr)
GY,COURIER PACKAGE/AWB,2000,4,2,Air,Courier Package/AWB,Ambient,Small,,,Van,1 to 3,300,2,,,
GA,SMALL VAN 1T 3M3,1000,3,2,Road,Rigid Truck 3.5 - 7.5 t,Ambient,Small,Small Van,,Colt,5,500,8,,,
GB,VAN 3T 5M3,3000,5,4,Road,Rigid Truck 3.5 - 7.5 t,Ambient,Small,Small Van,,Engkel ,12,1000,10-18,,,
GC,COLT 5T 10M3,5000,10,8,Road,Rigid Truck 3.5 - 7.5 t,Ambient,Small,Colt,,Tronton,10 to 15,1500,16-20,,,
GD,ENGKEL 12T 23M3,12000,23,10,Road,Rigid Truck 7.5 - 17 t,Ambient,Medium,Engkel,,Jumbo,20 to 32,2050,24-30,2,1000,60
GE,TRONTON 15T 30M3,15000,30,14,Road,Rigid Truck 7.5 - 17 t,Ambient,Medium,Tronton,,20ft contaienr,20,1500,12,,,
GF,JUMBO 20T 40M3,20000,40,16,Road,Rigid Truck > 17 t,Ambient,Large,Jumbo,,40ft container,26,4000,20,,,
GG,EXTRA JUMBO 30T 60M3,32000,65,30,Road,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
GH,"CONTAINER 20""",18000,28,12,Water,Container Ocean 20',Ambient,Large,20ft Container,,,,,,,,
GI,"CONTAINER 40""",26000,55,16,Water,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
GJ,"RAIL CONTAINER 20"" ",22000,28,12,Rail,Diesel Train,Ambient,Large,20ft Container,,outer island ,MT,van / CDD,,,,
GK,"RAIL CONTAINER 40"" ",30000,55,16,Rail,Diesel Train,Ambient,Large,40ft Container,,outer island ,GT,Tronton,,,,
GL,Shuttle BOF,20000,40,12,Road,Articulated Truck 7.5t-33t,Ambient,Large,,,Java,GT, Jumbo,,,,
GM,"EXP SHUTTLE 40"" CONT",26000,55,16,Road,Container Inland 40'-45',Ambient,Large,40ft Container,,Java,GT,Colt (CDD),,,,
HT,JUMBO RORO 18T 40M3,18000,40,16,Water,Ro-Ro Cargo,Ambient,Large,Jumbo,,Java,MT,van / CDD,,,,
GN,"EXP IC CONTAINER 20""",18000,28,9,Water,Container Ocean 20',Refrigerated,Large,20ft Container,,,,,,,,
GO,"EXP IC CONTAINER 40""",26000,55,18,Water,Container Ocean 40'-45',Refrigerated,Large,40ft Container,,,,,,,,
GP,IC VAN 2T 5M3,2000,5,2,Road,Rigid Truck 3.5 - 7.5 t,Refrigerated,Small,Small Van,,,,,,,,
GQ,IC 10PALLET TRONTON,10000,20,10,Road,Rigid Truck 7.5 - 17 t,Refrigerated,Medium,Tronton,,,,,,,,
GR,IC 12PALLET JUMBO,12000,25,12,Road,Rigid Truck 7.5 - 17 t,Refrigerated,Medium,Jumbo,,,,,,,,
GS,IC 14PALLET EXTJUMBO,15000,35,14,Road,Rigid Truck 7.5 - 17 t,Refrigerated,Medium,Jumbo,,,,,,,,
GT,IC 16PALLET 18T 40M3,18000,40,16,Road,Rigid Truck > 17 t,Refrigerated,Large,,,,,,,,,
GU,"IC RAIL CONT 20""",18000,28,11,Rail,Diesel Train,Refrigerated,Large,20ft Container,,,,,,,,
GV,"IC RAIL CONT 40""",26000,55,20,Rail,Diesel Train,Refrigerated,Large,40ft Container,,,,,,,,
GW,"IC CONTAINER 20"" ",18000,28,11,Water,Container Ocean 20',Refrigerated,Large,20ft Container,,,,,,,,
GX,"IC CONTAINER 40"" ",26000,55,20,Water,Container Ocean 40'-45',Refrigerated,Large,40ft Container,,,,,,,,
HN,"IC PELNI CONT 20"" ",18000,28,12,Water,Container Ocean 20',Refrigerated,Large,20ft Container,,,,,,,,
HO,"IC PELNI CONT 40"" ",26000,55,16,Water,Container Ocean 40'-45',Refrigerated,Large,40ft Container,,,,,,,,
HP,IC RORO 10 PALLET,10000,20,10,Water,Ro-Ro Cargo,Refrigerated,Large,,,,,,,,,
HQ,IC RORO 12 PALLET,12000,25,12,Water,Ro-Ro Cargo,Refrigerated,Medium,,,,,,,,,
HR,IC RORO 14 PALLET,15000,35,14,Water,Ro-Ro Cargo,Refrigerated,Medium,,,,,,,,,
HS,IC RORO 16 PALLET,18000,40,16,Water,Ro-Ro Cargo,Refrigerated,Large,,,,,,,,,
9A,COLT 5000KG 10M3,5000,10,8,Road,Rigid Truck 3.5 - 7.5 t,Ambient,Small,Colt,,,,,,,,
9B,COLT 6100KG 10M3,5000,10,8,Road,Rigid Truck 3.5 - 7.5 t,Ambient,Small,Colt,,,,,,,,
9C,COLT 6100KG 12M3,5000,10,8,Road,Rigid Truck 3.5 - 7.5 t,Ambient,Small,Colt,,,,,,,,
9D,CONTAINER 18T 28M3,18000,28,12,Water,Container Ocean 20',Ambient,Large,20ft Container,,,,,,,,
9E,CONTAINER 18T 30M3,18000,28,12,Water,Container Ocean 20',Ambient,Large,20ft Container,,,,,,,,
9F,CONTAINER 26T 55M3,26000,55,20,Water,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
9G,ENGKEL 12T 23M3,12000,23,18,Road,Rigid Truck 7.5 - 17 t,Ambient,Medium,Engkel,,,,,,,,
9H,ENGKEL 12T 24M3,12000,23,18,Road,Rigid Truck 7.5 - 17 t,Ambient,Medium,Engkel,,,,,,,,
9J,ENGKEL 15T 28M3,12000,23,18,Road,Rigid Truck 7.5 - 17 t,Ambient,Medium,Engkel,,,,,,,,
9K,JUMBO 20T 40M3,20000,40,24,Road,Rigid Truck > 17 t,Ambient,Large,Jumbo,,,,,,,,
9L,JUMBO 20T 50M3,20000,40,24,Road,Rigid Truck > 17 t,Ambient,Large,Jumbo,,,,,,,,
9M,JUMBO 20T 54M3,32000,65,30,Road,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
9N,TRONTON 15T 28M3,15000,28,20,Road,Rigid Truck 7.5 - 17 t,Ambient,Medium,Tronton,,,,,,,,
9P,TRONTON 15T 30M3,15000,30,20,Road,Rigid Truck 7.5 - 17 t,Ambient,Medium,Tronton,,,,,,,,
9Q,TRONTON 16T 30M3,15000,30,20,Road,Rigid Truck 7.5 - 17 t,Ambient,Medium,Tronton,,,,,,,,
9R,TRONTON 16T 32M3,15000,30,20,Road,Rigid Truck 7.5 - 17 t,Ambient,Medium,Tronton,,,,,,,,
9S,VAN 3000KG 5M3,3000,5,4,Road,Rigid Truck 3.5 - 7.5 t,Ambient,Small,Small Van,,,,,,,,
9T,VAN 3000KG 7M3,3000,5,4,Road,Rigid Truck 3.5 - 7.5 t,Ambient,Small,Small Van,,,,,,,,
9U,PANTHER 1500KG 2M3,1000,3,2,Road,Rigid Truck 3.5 - 7.5 t,Ambient,Small,,,,,,,,,
9V,SELF PICK 3000KG 8M3,3000,8,6,Road,Rigid Truck 3.5 - 7.5 t,Ambient,Small,,,,,,,,,
9W,IC TRONTON - 12T 25M,12000,25,14,Road,Rigid Truck 7.5 - 17 t,Refrigerated,Medium,Tronton,,,,,,,,
9X,IC STANDARD - 8T 20M,8000,20,12,Road,Rigid Truck 7.5 - 17 t,Refrigerated,Medium,,,,,,,,,
9I,Small Van,1000,3,2,Road,Rigid Truck 3.5 - 7.5 t,Ambient,Small,Small Van,,,,,,,,
9Z,Small Van,1000,3,2,Road,Rigid Truck 3.5 - 7.5 t,Refrigerated,Small,Small Van,,,,,,,,
9Y,IC JUMBO 15T 30M3,15000,30,24,Road,Rigid Truck 7.5 - 17 t,Refrigerated,Medium,Jumbo,,,,,,,,
1,TRUCK,18000,30,,Water,Ro-Ro Cargo,Ambient,Large,,,,,,,,,
9O,IC-Cont-PELNI 18T 23M3,18000,23,10,Water,Container Ocean 20',Refrigerated,Large,,,,,,,,,
11,Rental Truck&Contain,20000,28,16,Water,Container Ocean 20',Ambient,Large,,,,,,,,,
F6,DRY CONTAINER 20' STANDARD,24250,27.9,12,Water,Container Ocean 20',Ambient,Large,20ft Container,,,,,,,,
F7,DRY OPEN TOP CONTAINER 20' ,21823,32,12,Water,Container Ocean 20',Ambient,Large,20ft Container,,,,,,,,
F8,DRY CONTAINER 40' STANDARD,28800,67,18,Water,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
F9,DRY CONTAINER 40' HIGH CUBE,28570,76,20,Water,Container Ocean 40'-45',Ambient,Large,40ft Container HC,,,,,,,,
G0,DRY OPEN TOP CONTAINER 40' ,28280,64,18,Water,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
G1,DRY CONTAINER 45' HIGH CUBE,27910,86,20,Water,Container Ocean 40'-45',Ambient,Large,40ft Container HC,,,,,,,,
G2,REFER CONTAINER 20',20800,28.3,12,Water,Container Ocean 20',Refrigerated,Large,20ft Container,,,,,,,,
G3,REFER CONTAINER 40',25580,58.7,18,Water,Container Ocean 20',Refrigerated,Large,40ft Container,,,,,,,,
G4,REFER CONTAINER 40' HIGH CUBE,28350,67,20,Water,Container Ocean 40'-45',Refrigerated,Large,40ft Container HC,,,,,,,,
G5,REFER CONTAINER 45' HIGH CUBE,27300,75.4,22,Water,Container Ocean 40'-45',Refrigerated,Large,40ft Container HC,,,,,,,,
G6,DRY CONTAINER 20' HIGH CUBE,28165,37.4,14,Water,Container Ocean 20',Ambient,Large,20ft Container HC,,,,,,,,
,,,,,,,,,,,,,,,,,
,Shipping Type Code,Vehicle Weight Capacity (Kg),Vehicle  Volume Capacity (M3),,,,,,,,,,,,,,
,9Z," 1,000 ", 3 ,,,,,,,,,,,,,,
,GP," 2,000 ", 5 ,,,,,,,,,,,,,,
,9X," 8,000 ", 20 ,,,,,,,,,,,,,,
,GQ," 10,000 ", 20 ,,,,,,,,,,,,,,
,GR," 12,000 ", 25 ,,,,,,,,,,,,,,
,GS," 15,000 ", 35 ,,,,,,,,,,,,,,
,9Y," 15,000 ", 40 ,,,,,,,,,,,,,,
,GT," 18,000 ", 40 ,,,,,,,,,,,,,,
,G3," 25,580 ", 59 ,,,,,,,,,,,,,,
,GX," 26,000 ", 55 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
