Index,Old Truck Type,Old Truck Type Description,New Truck Type,New Truck Type Description,Count,Savings
0,9K,JUMBO 20T 40M3,9L,JUMBO 20T 50M3,1326,"2,781,192,400"
1,GH,"CONTAINER 20""",9D,CONTAINER 18T 28M3,353,"2,285,879,391"
2,GF,JUMBO 20T 40M3,9K,JUMBO 20T 40M3,2467,"1,514,737,784"
3,9D,CONTAINER 18T 28M3,9F,CONTAINER 26T 55M3,177,"1,015,882,375"
4,9D,CONTAINER 18T 28M3,9E,CONTAINER 18T 30M3,475,"990,983,907"
5,9K,JUMBO 20T 40M3,GF,JUMBO 20T 40M3,1245,"963,596,597"
6,9N,TRONTON 15T 28M3,9P,TRONTON 15T 30M3,46,"922,510,763"
7,9F,CONTAINER 26T 55M3,GI,"CONTAINER 40""",61,"850,828,464"
8,GE,TRONTON 15T 30M3,9P,TRONTON 15T 30M3,268,"592,073,896"
9,GE,TRONTON 15T 30M3,GG,EXTRA JUMBO 30T 60M3,311,"397,010,142"
10,GE,TRONTON 15T 30M3,9K,JUMBO 20T 40M3,633,"390,318,404"
11,9G,ENGKEL 12T 23M3,9H,ENGKEL 12T 24M3,1752,"370,956,582"
12,9K,JUMBO 20T 40M3,9G,ENGKEL 12T 23M3,411,"322,547,840"
13,9K,JUMBO 20T 40M3,GG,EXTRA JUMBO 30T 60M3,48,"308,296,328"
14,GG,EXTRA JUMBO 30T 60M3,9M,JUMBO 20T 54M3,199,"167,014,895"
15,GC,COLT 5T 10M3,9G,ENGKEL 12T 23M3,569,"131,096,274"
16,9D,CONTAINER 18T 28M3,GJ,"RAIL CONTAINER 20"" ",72,"127,470,875"
17,GM,"EXP SHUTTLE 40"" CONT",9M,JUMBO 20T 54M3,82,"120,940,454"
18,9K,JUMBO 20T 40M3,9P,TRONTON 15T 30M3,337,"114,809,040"
19,GE,TRONTON 15T 30M3,9L,JUMBO 20T 50M3,166,"102,105,004"
20,GF,JUMBO 20T 40M3,GG,EXTRA JUMBO 30T 60M3,64,"100,638,938"
21,9F,CONTAINER 26T 55M3,GG,EXTRA JUMBO 30T 60M3,7,"99,591,000"
22,GH,"CONTAINER 20""",GJ,"RAIL CONTAINER 20"" ",54,"95,245,688"
23,9P,TRONTON 15T 30M3,9Q,TRONTON 16T 30M3,6,"65,186,894"
24,9N,TRONTON 15T 28M3,9G,ENGKEL 12T 23M3,96,"62,302,015"
25,GH,"CONTAINER 20""",9E,CONTAINER 18T 30M3,48,"61,227,381"
26,9K,JUMBO 20T 40M3,9N,TRONTON 15T 28M3,127,"60,460,275"
27,GF,JUMBO 20T 40M3,9L,JUMBO 20T 50M3,198,"58,814,246"
28,9D,CONTAINER 18T 28M3,GH,"CONTAINER 20""",28,"55,406,468"
29,GD,ENGKEL 12T 23M3,9G,ENGKEL 12T 23M3,93,"54,258,482"
