Index,Route,MoT,Temp,BaseCost,Volume,Check in Date,Weight,OldShipmentCount,netVol,netWeight,New_SH,New_BC,NewShipmentCount,Savings
0,IDA039,Land,Ambient,128753244,211092466.66,2017-03-09,83397.0,6,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",967500.0,43.0,"127,785,744"
1,IDA353,Sea,Ambient,114900000,329861130.5,2017-03-28,139560.0,12,0.0,0.0,"9F,9F,9F,9F,9F,9F",42000.0,6.0,"114,858,000"
2,IDA231,Land,Ambient,110194268,139977959.83,2017-03-20,41506.0,4,0.0,0.0,"9Q,9Q,9Q,9Q,9Q",5525000.0,5.0,"104,669,268"
3,IDA353,Sea,Ambient,93000000,246527682.42,2017-03-10,95566.0,9,0.0,0.0,"9F,9F,9F,9F,9F",35000.0,5.0,"92,965,000"
4,IDA448,Sea,Ambient,158700000,57916909.519999996,2017-02-22,23903.0,2,0.0,0.0,"9D,9D,9D",70647750.0,3.0,"88,052,250"
5,IDA039,Land,Ambient,85835496,138139787.65,2017-02-11,59090.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",630000.0,28.0,"85,205,496"
6,IDA218,Land,Ambient,77600000,79937480.31,2017-03-01,27996.0,2,0.0,0.0,"9P,9P,9P",3315000.0,3.0,"74,285,000"
7,IDA218,Land,Ambient,77600000,79968225.49000001,2017-03-04,27381.0,2,0.0,0.0,"9P,9P,9P",3315000.0,3.0,"74,285,000"
8,IDA218,Land,Ambient,77600000,79881770.78999999,2017-03-25,31263.0,2,0.0,0.0,"9P,9P,9P",3315000.0,3.0,"74,285,000"
9,IDA218,Land,Ambient,77600000,75235326.81,2017-03-31,26095.0,2,0.0,0.0,"9P,9P,9P",3315000.0,3.0,"74,285,000"
10,IDA288,Sea,Ambient,105509450,54393675.370000005,2017-02-11,21040.0,2,0.0,0.0,"9D,9D",31818900.0,2.0,"73,690,550"
11,IDA145,Land,Ambient,73141595,199293337.54999998,2017-04-25,74957.0,5,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",660000.0,40.0,"72,481,595"
12,IDA145,Land,Ambient,71513276,198953694.96,2017-03-23,82380.0,5,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",660000.0,40.0,"70,853,276"
13,IDA145,Land,Ambient,69884957,198093261.01,2017-04-05,80789.0,5,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",660000.0,40.0,"69,224,957"
14,IDA282,Land,Ambient,64105361,238378753.53999996,2017-03-05,89213.0,6,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",792000.0,48.0,"63,313,361"
15,IDA145,Land,Ambient,58513276,158604203.36,2017-03-29,61677.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32.0,"57,985,276"
16,IDA145,Land,Ambient,55884957,157085548.22,2017-02-01,65931.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32.0,"55,356,957"
17,IDA145,Land,Ambient,55256638,158933408.44,2017-02-08,59030.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32.0,"54,728,638"
18,IDA145,Land,Ambient,55256638,159106482.29,2017-03-04,64462.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32.0,"54,728,638"
19,IDA145,Land,Ambient,55256638,155537011.18,2017-03-25,72640.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32.0,"54,728,638"
20,IDA145,Land,Ambient,55256638,158199404.82999998,2017-04-11,61701.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32.0,"54,728,638"
21,IDA231,Land,Ambient,57996982,77979396.18,2017-02-20,32555.0,2,0.0,0.0,"9Q,9Q,9Q",3315000.0,3.0,"54,681,982"
22,IDA231,Land,Ambient,57996982,79978734.0,2017-03-26,23677.0,2,0.0,0.0,"9Q,9Q,9Q",3315000.0,3.0,"54,681,982"
23,IDA392,Land,Ambient,52009018,399512812.49999994,2017-03-17,146026.0,10,0.0,0.0,"GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD",124290.0,18.0,"51,884,728"
24,IDA448,Sea,Ambient,98200000,55986062.65,2017-02-01,23605.0,2,0.0,0.0,"9D,9D",47098500.0,2.0,"51,101,500"
