Scope,Temp. Condition,MoT,Check in Date,Vol,Volume,Weight,      Gross,VolFill,WeightFill,LoadFill, BaseCost, Non-Conformance? , Quarter 
Secondary Outbound,Ambient,Sea,1/31/17,27.2,27207316.32,11.3,11332.186,0.971689868,0.629565889,0.971689868,"5,500,000", Check Out/ ,1
Secondary Outbound,Ambient,Sea,1/31/17,27.4,27409922.64,12.2,12244.447,0.978925809,0.680247056,0.978925809,"7,800,000", Check Out/ ,1
Secondary Outbound,Ambient,Sea,1/31/17,27.9,27932828.89,11,11007.889,0.997601032,0.611549389,0.997601032,8940000, Check Out/ ,1
Secondary Outbound,Ambient,Sea,1/31/17,28,27990000,9,9012.947,0.999642857,0.500719278,0.999642857,"7,825,000", Check Out/ ,1
Secondary Outbound,Ambient,Sea,1/31/17,27.8,27813169.83,10.7,10657.984,0.993327494,0.592110222,0.993327494,"7,825,000", Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,40,39998852.18,15,14961.814,0.999971305,0.7480907,0.999971305,"3,950,000", Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,10,9959787.144,4.5,4517.556,0.995978714,0.9035112,0.995978714,"837,169", Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,10,9965808,3,2987.76,0.9965808,0.597552,0.9965808,771451, Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,7.4,7395711.982,3.2,3223.823,0.739571198,0.6447646,0.739571198,760430, Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,21.6,21573000,9.2,9238.119,0.539325,0.46190595,0.539325,1713044, Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,25.4,25353070,10.8,10750,0.63382675,0.5375,0.63382675,1713044, Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,29.3,29266656.81,18.5,18525.48,0.73166642,0.926274,0.926274,5616151, Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,39.5,39467645,15.1,15143,0.986691125,0.75715,0.986691125,5616151, Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,32.5,32456354.23,19.3,19287.148,0.811408856,0.9643574,0.9643574,5600000, Check Out/ ,1
Secondary Outbound,Ambient,Sea,1/31/17,29.5,29477129.17,10.1,10093.505,1.052754613,0.560750278,1,7400000, Vol Fill/Check Out/ ,1
Secondary Outbound,Ambient,Sea,1/31/17,29.1,29102744.2,8.9,8939.05,1.039383721,0.496613889,1,7400000, Vol Fill/Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,40,39999032.85,14.1,14103.863,0.999975821,0.70519315,0.999975821,"7,810,700", Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,40,39968998.59,14.3,14343.145,0.999224965,0.71715725,0.999224965,"7,947,600", Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,38.8,38836493.51,16.5,16504.097,0.970912338,0.82520485,0.970912338,"9,283,300", Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,40,39995463.76,14.1,14101.67,0.999886594,0.7050835,0.999886594,"5,600,000", Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,19.9,19943888.9,8.7,8746.239,0.867125604,0.72885325,0.867125604,1733562, Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,12.1,12126719.63,5.5,5535.523,0.52724868,0.461293583,0.52724868,3832390, Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,37.7,37718984.27,19.4,19368.406,0.942974607,0.9684203,0.9684203,1702141, Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,39.8,39824032.44,15.7,15665.431,0.995600811,0.78327155,0.995600811,1702141, Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,32.2,32227007.23,11.7,11728.134,0.805675181,0.5864067,0.805675181,2665964, Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,38.8,38772000,13.9,13857.862,0.9693,0.6928931,0.9693,1892208, Check Out/ ,1
Secondary Outbound,Ambient,Land,1/31/17,14.4,14389826.43,6,6045.245,0.625644627,0.503770417,0.625644627,3511678, Check Out/ ,1
